,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
0.0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.017453292519943295,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.03490658503988659,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.05235987755982989,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.06981317007977318,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.08726646259971647,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.10471975511965978,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.12217304763960307,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.13962634015954636,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.15707963267948966,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
